Unique_ID,Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3ALT1EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,Average Travel Time(minutes) ,pop_density(people per sq.km),BioClim_1,BioClim_2,BioClim_3,BioClim_4,BioClim_5,BioClim_6,BioClim_7,BioClim_8,BioClim_9,BioClim_10,BioClim_11,BioClim_12,BioClim_13,BioClim_14,BioClim_15,BioClim_16,BioClim_17,BioClim_18,BioClim_19
1,3.703879537,0.24381881,Tahtay Adiyabo,ET010101,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,910.0083958,35.19502796,26.46087082,29.43826356,24.59989669,634.8449612,203.4186047,0.697674419,135.4085728,476.1550388,2.604651163,110.1162791,398.627907,14.59298713,66.60281425,212.462668,38.10800005,16.19615498,21.9118451,24.96798969,25.21524551
2,1.946738416,0.047606848,Laelay Adiabo,ET010102,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,933.8748115,102.9493875,23.92624426,27.05554771,22.06019041,684.8928571,218.9285714,1.428571429,133.050642,504.8214286,5.607142857,144.25,326.1785714,14.53163082,67.87981142,223.1872766,35.21199976,13.79271429,21.41928577,23.40330948,22.70749998
3,1.153553333,0.047753759,Zana,ET010103,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,909.9151515,104.040431,22.85079002,25.6832594,21.07483949,673.3703704,207.6666667,4.111111111,126.254626,477.4444444,14.37037037,89.18518519,475.3333333,14.0987902,67.96155322,207.2992282,33.89674074,13.13407414,20.76266656,21.91691363,21.84471597
4,2.386193184,0.07206484,Tahtay Koraro,ET010104,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,883.1283096,151.0964093,21.86433332,24.59143585,20.15998278,690.6923077,222.4358974,1.717948718,133.4228844,508.6153846,6.717948718,138.974359,360.8974359,14.49398285,69.95681626,196.7381709,32.74338443,12.02430774,20.71907674,21.17042727,20.8007521
5,2.325931165,0.13116799,Asgede,ET010105,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,894.2245125,60.43239412,26.16401791,29.52628814,24.07321621,658.4189189,204.4324324,1.986486486,129.7233411,479.2567568,6.810810811,102.3378378,475.7027027,14.29943248,64.60989272,242.1080366,38.21854055,16.08232435,22.13621616,25.33508113,25.00374779
6,2.548351824,0.161034038,Tselemti,ET010106,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,909.3546643,59.09348464,25.07736978,28.40313425,23.01885068,686.5517241,208.2758621,3.298850575,126.1150213,489.6206897,11.1954023,76.63218391,471.4597701,14.31534491,64.35725434,238.2039593,37.22409198,14.96731036,22.25678168,24.13850574,24.06571649
7,0.43619069,0.006063442,Sheraro town,ET010107,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,900.654321,431.4044286,26.56537533,29.65683317,24.72400045,643.25,206,1,134.2572556,478.5,3,133.5,478.25,15.18774986,66.92663956,219.1483994,38.66599941,15.97299981,22.69299984,25.35100079,25.26966619
8,0.15585425,0.001224581,Indasilassie town,ET010108,Shire town,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,750.5555556,4749.467146,20.38400078,22.83533287,18.7859993,723,235,1,135.6150055,538,3,153,533,14.84399986,71.69628906,179.0723419,31.26000023,10.55599976,20.70400047,19.4766655,19.54133224
9,1.384169098,0.033441797,Selekleka,ET010109,Laelay Koraro,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,871.508658,304.7871644,20.16712214,22.58595581,18.72022209,693.5333333,227.3333333,1.2,135.6918711,515.2666667,4.866666667,143.8,81.53333333,14.93548883,72.35441895,174.3114146,30.79333331,10.15200011,20.64133326,19.53480034,19.09999987
10,1.412736775,0.059442458,Seyemti Adyabo,ET010110,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,890.7562189,76.07921148,24.11128128,27.20402074,22.21100008,656.46875,210,1.625,133.195914,483.46875,7.21875,133,15.4375,14.50699991,68.08425426,216.1128273,35.0847497,13.77662504,21.3081246,23.51212502,22.66054147
11,0.723731775,0.008503392,Adi Daero,ET010111,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,867.1171171,360.9953356,23.28279161,26.39116621,21.48483324,704.5,228.25,0.25,136.1781654,527,2.75,147.75,391.5,14.60108328,68.39957237,220.3974609,34.40600014,13.05599976,21.35000038,22.84166622,22.07133389
12,1.767510437,0.076194331,Adi Hageray,ET010112,Maekel Adiyabo,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,917.1645813,50.78616319,25.61233743,28.86706361,23.67834918,646.8095238,208.4047619,1.071428571,135.045372,481.5952381,4.357142857,129.7619048,158.2142857,14.55488105,66.57038334,229.0791699,36.88323829,15.01752377,21.86571448,24.67290465,24.16141265
13,1.615018274,0.083902378,Tsimbla,ET010113,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,856.38865,112.5317538,23.99800364,27.14410366,21.9613333,688.3333333,215.0666667,2.422222222,129.8091634,499.1777778,8.733333333,98.33333333,495.7111111,14.35394811,66.15193397,229.5803864,35.73715549,14.02373327,21.71342235,23.10336304,23.01765929
14,0.076686583,0.000263047,Endabaguna town,ET010114,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,736.6666667,1806.224772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1.630519397,0.071224482,Dima (TG),ET010115,Laelay Tselemti,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,889.9938398,114.1463789,23.10989475,25.90749113,21.29582445,684.2368421,208.6315789,4.5,124.5895524,480.1842105,15.94736842,88.10526316,478.4473684,14.16057898,68.56656305,204.5734189,34.11863181,13.44357895,20.67505284,22.13315768,22.20692976
16,0.102785574,0.000362942,May Tsebri town,ET010116,.,North Western,ET0101,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,707,637.230127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1.310431139,0.049470652,Chila,ET010201,.,Central,ET0102,Tigray,ET01,Ethiopia,ET,09/12/2021,14/12/2021,917.3740686,93.93561855,22.56033947,25.31733329,20.78980255,650.2962963,201.7037037,4,125.646182,457.7407407,17.11111111,132.1481481,25.48148148,14.33067894,69.97303602,195.3744422,33.20918535,12.73229634,20.47688908,22.19592589,21.1767901
